what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1479732197408
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1479732197556
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1479732197566
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1479732197606
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1479732197606
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1479732197848
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1479732197848
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1479732197848
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1479732197848
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1479732197858
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1479732197858
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1479732197858
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1479732197858
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1479732197868
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1479732197868
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1479732197868
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1479732197868
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1479732197878
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1479732197888
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1479732197888
os,sysinfo,,,"win32",1479732197888
arch,sysinfo,,,"x86",1479732197888
ws,sysinfo,,,"win32",1479732197888
locale,sysinfo,,,"en_IN",1479732197888
processors,sysinfo,,,"1",1479732197888
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1479732197888
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1479732197888
java.specification.name,sysinfo,,,"Java Platform API Specification",1479732197888
java.specification.vendor,sysinfo,,,"Oracle Corporation",1479732197888
java.specification.version,sysinfo,,,"1.7",1479732197888
java.vendor,sysinfo,,,"Oracle Corporation",1479732197888
java.version,sysinfo,,,"1.7.0_79",1479732197888
java.vm.info,sysinfo,,,"mixed mode, sharing",1479732197888
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1479732197888
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1479732197888
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1479732197888
java.vm.specification.version,sysinfo,,,"1.7",1479732197888
java.vm.vendor,sysinfo,,,"Oracle Corporation",1479732197888
java.vm.version,sysinfo,,,"24.79-b02",1479732197888
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1479732198374
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1479732199083
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1479732199152
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1479732199325
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1479732199456
